"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2023","41,157.0","39,940.0","41,211.0","39,940.0","2.11K","3.05%"
"12/03/2023","39,940.0","39,438.0","40,159.0","39,253.0","1.41K","1.27%"
"12/02/2023","39,438.0","38,676.0","39,678.0","38,634.0","2.86K","1.97%"
"12/01/2023","38,676.0","37,723.0","38,936.0","37,626.0","2.69K","2.53%"
"11/30/2023","37,723.0","37,834.0","38,136.0","37,490.0","0.73K","-0.29%"
"11/29/2023","37,834.0","37,815.0","38,366.0","37,599.0","1.19K","0.05%"
"11/28/2023","37,815.0","37,263.0","38,349.0","36,895.0","1.79K","1.48%"
"11/27/2023","37,263.0","37,443.0","37,547.0","36,735.0","1.74K","-0.48%"
"11/26/2023","37,443.0","37,782.0","37,798.0","37,120.0","1.84K","-0.90%"
"11/25/2023","37,782.0","37,704.0","37,891.0","37,583.0","1.13K","0.21%"
"11/24/2023","37,704.0","37,280.0","38,410.0","37,248.0","3.64K","1.14%"
"11/23/2023","37,280.0","37,407.0","37,645.0","36,898.0","1.30K","-0.34%"
"11/22/2023","37,407.0","35,794.0","37,870.0","35,663.0","2.09K","4.51%"
"11/21/2023","35,794.0","37,451.0","37,638.0","35,791.0","2.68K","-4.42%"
"11/20/2023","37,451.0","37,368.0","37,731.0","36,824.0","1.65K","0.22%"
"11/19/2023","37,368.0","36,581.0","37,509.0","36,410.0","0.52K","2.15%"
"11/18/2023","36,581.0","36,631.0","36,849.0","36,234.0","0.34K","-0.14%"
"11/17/2023","36,631.0","36,161.0","36,730.0","35,886.0","0.88K","1.30%"
"11/16/2023","36,161.0","37,865.0","37,927.0","35,535.0","0.96K","-4.50%"
"11/15/2023","37,865.0","35,542.0","37,949.0","35,374.0","1.99K","6.54%"
"11/14/2023","35,542.0","36,511.0","36,756.0","34,860.0","2.05K","-2.65%"
"11/13/2023","36,511.0","37,042.0","37,410.0","36,390.0","1.23K","-1.43%"
"11/12/2023","37,042.0","37,141.0","37,215.0","36,760.0","0.45K","-0.27%"
"11/11/2023","37,141.0","37,301.0","37,405.0","36,720.0","1.22K","-0.43%"
"11/10/2023","37,301.0","36,699.0","37,500.0","36,369.0","0.95K","1.64%"
"11/09/2023","36,699.0","35,641.0","37,973.0","35,562.0","3.97K","2.97%"
"11/08/2023","35,641.0","35,455.0","36,065.0","35,111.0","0.70K","0.52%"
"11/07/2023","35,455.0","35,053.0","35,930.0","34,578.0","0.97K","1.15%"
"11/06/2023","35,053.0","35,064.0","35,323.0","34,798.0","0.37K","-0.03%"
"11/05/2023","35,064.0","35,100.0","35,399.0","34,532.0","0.61K","-0.10%"
"11/04/2023","35,100.0","34,751.0","35,296.0","34,647.0","0.72K","1.00%"
